,0,1,2
639,147.0,27.0,2.0
640,147.0,30.0,1.0
641,147.0,32.0,1.0
642,147.0,35.0,1.0
643,148.0,22.0,1.0
644,148.0,23.0,1.0
645,148.0,26.0,2.0
646,148.0,35.0,1.0
647,148.0,38.0,1.0
648,148.0,40.0,2.0
649,149.0,17.0,1.0
650,149.0,22.0,1.0
651,149.0,23.0,2.0
652,149.0,27.0,1.0
653,149.0,28.0,1.0
654,149.0,32.0,1.0
655,149.0,53.0,1.0
656,150.0,21.0,1.0
657,150.0,27.0,1.0
658,150.0,40.0,1.0
659,151.0,19.0,1.0
660,151.0,23.0,4.0
661,151.0,24.0,1.0
662,151.0,26.0,1.0
663,151.0,30.0,1.0
664,151.0,32.0,2.0
665,152.0,13.0,1.0
666,152.0,27.0,2.0
667,152.0,30.0,1.0
668,152.0,40.0,1.0
669,152.0,45.0,2.0
670,153.0,14.0,1.0
671,153.0,20.0,1.0
672,153.0,30.0,1.0
673,154.0,22.0,2.0
674,154.0,35.0,1.0
675,154.0,50.0,1.0
676,155.0,23.0,1.0
677,155.0,30.0,1.0
678,156.0,19.0,1.0
679,156.0,22.0,3.0
680,156.0,23.0,1.0
681,156.0,26.0,1.0
682,156.0,27.0,1.0
683,156.0,28.0,2.0
684,156.0,32.0,1.0
685,157.0,20.0,1.0
686,157.0,23.0,1.0
687,157.0,26.0,1.0
688,157.0,33.0,1.0
689,157.0,50.0,1.0
690,159.0,20.0,1.0
691,159.0,22.0,1.0
692,159.0,23.0,1.0
693,159.0,24.0,1.0
694,159.0,45.0,1.0
695,159.0,50.0,1.0
696,160.0,15.0,1.0
697,160.0,18.0,1.0
698,160.0,23.0,1.0
699,160.0,26.0,1.0
700,160.0,27.0,1.0
701,160.0,30.0,1.0
702,160.0,32.0,2.0
703,160.0,35.0,2.0
704,161.0,15.0,1.0
705,161.0,22.0,1.0
706,161.0,23.0,1.0
707,161.0,35.0,1.0
708,161.0,45.0,1.0
709,162.0,22.0,1.0
710,162.0,40.0,1.0
711,162.0,45.0,1.0
712,163.0,26.0,1.0
713,163.0,30.0,2.0
714,163.0,40.0,1.0
715,164.0,15.0,1.0
716,164.0,28.0,1.0
717,164.0,30.0,1.0
718,165.0,26.0,1.0
719,165.0,27.0,2.0
720,165.0,28.0,1.0
721,165.0,32.0,1.0
722,165.0,38.0,1.0
723,165.0,40.0,2.0
724,165.0,45.0,1.0
725,165.0,50.0,1.0
726,166.0,40.0,1.0
727,167.0,20.0,1.0
728,167.0,22.0,1.0
729,167.0,23.0,2.0
730,167.0,26.0,1.0
731,167.0,27.0,1.0
732,167.0,28.0,1.0
733,167.0,29.0,1.0
734,167.0,40.0,1.0
735,167.0,50.0,1.0
736,168.0,23.0,1.0
737,168.0,26.0,1.0
738,168.0,30.0,1.0
739,168.0,50.0,1.0
740,169.0,21.0,1.0
741,169.0,22.0,1.0
742,169.0,30.0,1.0
743,169.0,35.0,1.0
744,169.0,50.0,1.0
745,170.0,22.0,1.0
746,170.0,26.0,1.0
747,170.0,28.0,1.0
748,170.0,32.0,1.0
749,171.0,23.0,2.0
750,171.0,24.0,1.0
751,171.0,25.0,1.0
752,171.0,28.0,1.0
753,171.0,29.0,1.0
754,171.0,30.0,1.0
755,171.0,35.0,1.0
756,171.0,50.0,2.0
757,172.0,23.0,1.0
758,172.0,25.0,1.0
759,172.0,31.0,1.0
760,172.0,40.0,1.0
761,172.0,50.0,1.0
762,173.0,17.0,1.0
763,173.0,21.0,1.0
764,173.0,27.0,2.0
765,173.0,28.0,1.0
766,173.0,32.0,1.0
767,173.0,50.0,1.0
768,174.0,22.0,1.0
769,174.0,24.0,1.0
770,174.0,25.0,1.0
771,174.0,40.0,1.0
772,175.0,23.0,1.0
773,175.0,25.0,1.0
774,175.0,27.0,1.0
775,175.0,30.0,1.0
776,175.0,32.0,1.0
777,176.0,30.0,1.0
778,176.0,35.0,2.0
779,176.0,40.0,1.0
780,176.0,50.0,1.0
781,177.0,21.0,1.0
782,177.0,22.0,1.0
783,177.0,24.0,1.0
784,177.0,25.0,2.0
785,177.0,26.0,1.0
786,177.0,52.0,1.0
787,178.0,38.0,1.0
788,178.0,45.0,1.0
789,179.0,22.0,1.0
790,179.0,24.0,1.0
791,179.0,29.0,1.0
792,180.0,22.0,2.0
793,180.0,28.0,1.0
794,180.0,32.0,1.0
795,181.0,22.0,1.0
796,181.0,23.0,1.0
797,181.0,24.0,1.0
798,181.0,27.0,1.0
799,181.0,30.0,2.0
800,181.0,31.0,1.0
801,181.0,32.0,1.0
802,181.0,39.0,1.0
803,181.0,50.0,1.0
804,182.0,19.0,1.0
805,182.0,26.0,1.0
806,183.0,17.0,1.0
807,183.0,21.0,1.0
808,183.0,24.0,1.0
809,183.0,30.0,1.0
810,183.0,50.0,1.0
811,184.0,26.0,1.0
812,184.0,53.0,1.0
813,185.0,14.0,1.0
814,185.0,20.0,1.0
815,186.0,22.0,1.0
816,186.0,23.0,1.0
817,186.0,27.0,1.0
818,186.0,28.0,1.0
819,186.0,50.0,1.0
820,188.0,20.0,1.0
821,188.0,27.0,2.0
822,188.0,35.0,1.0
823,189.0,25.0,2.0
824,189.0,26.0,1.0
825,189.0,28.0,1.0
826,189.0,30.0,1.0
827,189.0,32.0,1.0
828,190.0,30.0,1.0
829,191.0,17.0,1.0
830,191.0,21.0,1.0
831,191.0,25.0,1.0
832,191.0,26.0,1.0
833,191.0,27.0,1.0
834,191.0,29.0,1.0
835,191.0,30.0,1.0
836,191.0,32.0,1.0
837,191.0,35.0,1.0
838,191.0,52.0,1.0
839,192.0,20.0,1.0
840,192.0,22.0,1.0
841,192.0,25.0,1.0
842,192.0,26.0,2.0
843,192.0,32.0,1.0
844,192.0,45.0,1.0
845,193.0,28.0,4.0
846,194.0,21.0,1.0
847,194.0,22.0,1.0
848,194.0,25.0,1.0
849,194.0,26.0,3.0
850,194.0,27.0,1.0
851,194.0,32.0,1.0
852,194.0,35.0,1.0
853,194.0,38.0,1.0
854,194.0,40.0,1.0
855,195.0,22.0,1.0
856,195.0,26.0,1.0
857,195.0,27.0,1.0
858,195.0,29.0,1.0
859,195.0,30.0,1.0
860,195.0,32.0,1.0
861,196.0,19.0,1.0
862,196.0,23.0,1.0
863,196.0,25.0,1.0
864,196.0,30.0,1.0
865,196.0,50.0,2.0
866,197.0,23.0,2.0
867,197.0,24.0,2.0
868,197.0,27.0,1.0
869,197.0,30.0,2.0
870,197.0,35.0,1.0
871,198.0,17.0,1.0
872,198.0,20.0,1.0
873,198.0,29.0,1.0
874,198.0,50.0,1.0
875,199.0,15.0,1.0
876,199.0,22.0,1.0
877,199.0,23.0,1.0
878,199.0,26.0,1.0
879,199.0,27.0,1.0
880,199.0,45.0,1.0
881,200.0,15.0,1.0
882,200.0,20.0,1.0
883,200.0,25.0,1.0
884,200.0,26.0,2.0
885,200.0,45.0,2.0
886,201.0,25.0,1.0
887,201.0,27.0,1.0
888,201.0,32.0,1.0
889,201.0,40.0,1.0
890,202.0,18.0,1.0
891,202.0,21.0,1.0
892,202.0,26.0,2.0
893,203.0,19.0,1.0
894,203.0,25.0,1.0
895,203.0,26.0,2.0
896,203.0,27.0,1.0
897,204.0,15.0,1.0
898,204.0,22.0,2.0
899,204.0,24.0,1.0
900,204.0,30.0,1.0
901,204.0,40.0,2.0
902,204.0,50.0,1.0
903,205.0,32.0,1.0
904,205.0,40.0,1.0
905,205.0,50.0,1.0
906,205.0,53.0,1.0
907,206.0,23.0,1.0
908,206.0,24.0,1.0
909,206.0,28.0,1.0
910,206.0,31.0,1.0
911,206.0,38.0,1.0
912,206.0,50.0,1.0
913,207.0,26.0,1.0
914,207.0,27.0,1.0
915,207.0,28.0,2.0
916,207.0,40.0,1.0
917,207.0,50.0,1.0
918,208.0,19.0,1.0
919,208.0,20.0,1.0
920,208.0,30.0,1.0
921,209.0,22.0,2.0
922,209.0,24.0,2.0
923,209.0,30.0,1.0
924,209.0,40.0,2.0
925,209.0,50.0,1.0
926,210.0,23.0,1.0
927,210.0,24.0,1.0
928,210.0,28.0,1.0
929,210.0,30.0,1.0
930,210.0,50.0,1.0
931,211.0,17.0,2.0
932,211.0,23.0,1.0
933,211.0,25.0,1.0
934,211.0,27.0,1.0
935,211.0,30.0,1.0
936,211.0,50.0,1.0
937,212.0,20.0,1.0
938,212.0,22.0,2.0
939,212.0,25.0,1.0
940,212.0,30.0,1.0
941,212.0,35.0,1.0
942,213.0,22.0,1.0
943,213.0,32.0,1.0
944,213.0,35.0,2.0
945,213.0,40.0,1.0
946,213.0,50.0,1.0
947,214.0,25.0,1.0
948,214.0,35.0,1.0
949,214.0,45.0,1.0
950,215.0,13.0,1.0
951,215.0,23.0,2.0
952,215.0,24.0,2.0
953,215.0,25.0,1.0
954,215.0,29.0,1.0
955,215.0,30.0,1.0
956,215.0,40.0,1.0
957,215.0,50.0,1.0
958,216.0,20.0,1.0
959,216.0,26.0,2.0
960,216.0,30.0,1.0
961,216.0,31.0,1.0
962,216.0,40.0,1.0
963,216.0,50.0,1.0
964,217.0,21.0,1.0
965,217.0,24.0,1.0
966,217.0,29.0,1.0
967,217.0,50.0,1.0
968,218.0,21.0,1.0
969,218.0,23.0,2.0
970,218.0,30.0,1.0
971,218.0,32.0,2.0
972,218.0,53.0,1.0
973,219.0,20.0,1.0
974,219.0,21.0,1.0
975,219.0,23.0,1.0
976,219.0,27.0,2.0
977,219.0,30.0,1.0
978,219.0,38.0,1.0
979,219.0,40.0,1.0
980,219.0,50.0,2.0
981,220.0,21.0,1.0
982,220.0,25.0,2.0
983,220.0,28.0,1.0
984,220.0,32.0,1.0
985,220.0,35.0,1.0
986,220.0,37.0,1.0
987,220.0,40.0,1.0
988,221.0,24.0,1.0
989,221.0,26.0,1.0
990,221.0,29.0,1.0
991,222.0,16.0,1.0
992,222.0,18.0,1.0
993,222.0,21.0,1.0
994,222.0,50.0,1.0
995,223.0,22.0,1.0
996,223.0,23.0,1.0
